Neighborhood,"Estimate; Total: - $200,000 or more"
Allegheny Center,21.0
Allegheny West,21.0
Allentown,3.0
Arlington,2.0
Arlington Heights,0.0
Banksville,49.0
Bedford Dwellings,0.0
Beechview,31.0
Beltzhoover,0.0
Bloomfield,108.0
Bluff,0.0
Bon Air,0.0
Brighton Heights,22.0
Brookline,127.0
California-Kirkbride,0.0
Carrick,31.0
Central Business District,364.0
Central Lawrenceville,46.0
Central Northside,64.0
Central Oakland,0.0
Chartiers City,0.0
Chateau,0.0
Crafton Heights,7.0
Crawford-Roberts,17.0
Duquesne Heights,46.0
East Allegheny,39.0
East Carnegie,0.0
East Hills,8.0
East Liberty,41.0
Elliott,0.0
Esplen,0.0
Fairywood,8.0
Fineview,0.0
Friendship,0.0
Garfield,15.0
Glen Hazel,0.0
Greenfield,158.0
Hays,0.0
Hazelwood,45.0
Highland Park,326.0
Homewood North,3.0
Homewood South,0.0
Homewood West,0.0
Knoxville,0.0
Larimer,4.0
Lincoln Place,0.0
Lincoln-Lemington-Belmar,21.0
Lower Lawrenceville,21.0
Manchester,39.0
Marshall-Shadeland,0.0
Middle Hill,0.0
Morningside,11.0
Mount Oliver Borough,10.0
Mount Washington,117.0
Mt. Oliver,4.0
New Homestead,0.0
North Oakland,94.0
North Shore,0.0
Northview Heights,0.0
Oakwood,12.0
Overbrook,4.0
Perry North,53.0
Perry South,14.0
Point Breeze,482.0
Point Breeze North,18.0
Polish Hill,21.0
Regent Square,53.0
Ridgemont,0.0
Shadyside,559.0
Sheraden,0.0
South Oakland,13.0
South Shore,0.0
South Side Flats,151.0
South Side Slopes,64.0
Spring Garden,0.0
Spring Hill-City View,8.0
Squirrel Hill North,935.0
Squirrel Hill South,821.0
St. Clair,0.0
Stanton Heights,68.0
Strip District,83.0
Summer Hill,10.0
Swisshelm Park,14.0
Terrace Village,4.0
Troy Hill,82.0
Upper Hill,14.0
Upper Lawrenceville,14.0
West End,0.0
West Oakland,0.0
Westwood,10.0
Windgap,0.0
